c1,c2,c3,c4,c5,c6,c7,c8,nrtg
0,0,1,1,0,2,0,1,3.642503
2,0,0,0,3,0,0,0,3.6390636
1,1,1,2,0,0,0,0,3.627088
1,1,0,1,1,1,0,0,3.6257946
1,1,0,3,0,0,0,0,3.605023
0,1,0,2,0,2,0,0,3.5652092
2,0,1,1,0,0,0,1,3.5568964
1,0,2,1,1,0,0,0,3.5302498
2,0,0,0,0,1,0,2,3.5250254
2,0,0,0,0,1,1,1,3.5122817
2,0,2,0,1,0,0,0,3.4969857
1,2,0,1,0,0,0,1,3.489682
0,0,0,4,1,0,0,0,3.4636855
0,0,0,1,1,3,0,0,3.4389844
2,0,0,0,1,2,0,0,3.4347174
2,0,1,0,1,0,0,1,3.4226305
2,0,1,0,0,1,1,0,3.4071174
0,0,0,2,1,2,0,0,3.3748522
1,2,1,0,0,0,0,1,3.3694718
1,1,0,1,0,2,0,0,3.3616354
1,0,2,1,0,1,0,0,3.33031
1,0,1,1,1,0,0,1,3.3048112
3,1,1,0,0,0,0,0,3.3039408
2,1,2,0,0,0,0,0,3.2976658
0,0,1,1,2,0,0,1,3.2886527
1,0,1,1,0,0,2,0,3.2758775
1,0,0,1,0,1,1,1,3.2717068
1,0,3,1,0,0,0,0,3.2401903
1,1,0,2,0,0,1,0,3.2342598
0,0,0,1,2,1,0,1,3.2089562
1,0,0,2,0,0,0,2,3.1980822
1,0,0,2,0,1,0,1,3.1921098
0,0,0,1,1,1,0,2,3.1629066
2,0,0,0,1,0,0,2,3.1386914
1,1,0,1,1,0,1,0,3.1237347
0,0,0,3,2,0,0,0,3.1121
1,1,0,0,2,1,0,0,3.066474
2,1,0,0,0,0,1,1,3.0171664
1,0,2,1,0,0,1,0,3.0135226
0,1,0,2,2,0,0,0,3.004949
3,0,1,0,0,1,0,0,2.9757643
0,2,1,2,0,0,0,0,2.9748776
2,0,0,1,0,0,0,2,2.9480126
1,2,0,1,0,0,1,0,2.917635
0,2,3,0,0,0,0,0,2.9059029
4,0,1,0,0,0,0,0,2.8856452
1,2,1,0,0,1,0,0,2.881411
2,0,0,0,1,0,2,0,2.8710024
0,2,2,0,0,0,0,1,2.8560948
0,1,1,1,2,0,0,0,2.8433094
0,2,1,1,0,0,0,1,2.8199012
1,0,0,0,1,1,0,2,2.816682
1,1,0,1,0,1,1,0,2.8081179
1,0,1,1,0,1,0,1,2.8060508
1,2,1,0,0,0,1,0,2.7974238
2,0,2,0,0,1,0,0,2.7933922
0,2,1,1,1,0,0,0,2.7919545
1,1,0,0,1,1,1,0,2.7808723
0,1,0,4,0,0,0,0,2.7688477
1,1,0,2,0,0,0,1,2.7428849
1,1,0,2,0,1,0,0,2.7285209
2,0,3,0,0,0,0,0,2.7032728
0,0,0,1,1,2,1,0,2.6986558
0,0,0,2,2,1,0,0,2.6795738
1,0,0,1,3,0,0,0,2.6704092
2,0,1,0,0,1,0,1,2.6697128
0,0,1,2,0,0,2,0,2.6545973
0,1,0,1,0,2,1,0,2.6142678
0,0,0,1,0,4,0,0,2.5853953
2,0,0,0,0,1,2,0,2.564893
1,1,0,0,2,0,1,0,2.564414
0,2,0,1,0,2,0,0,2.546434
1,0,0,1,0,0,1,2,2.5457544
1,0,1,0,1,1,1,0,2.527305
1,0,1,0,2,1,0,0,2.524978
0,1,0,1,2,0,0,1,2.5114944
0,1,1,1,0,2,0,0,2.5043213
0,0,0,2,0,0,2,1,2.5015619
1,2,0,0,1,1,0,0,2.4683414
0,0,1,2,1,0,0,1,2.4393654
1,0,1,0,2,0,1,0,2.4348588
0,0,0,2,2,0,1,0,2.4280176
0,0,1,4,0,0,0,0,2.4000823
0,0,0,2,0,3,0,0,2.3905826
3,0,1,0,0,0,1,0,2.3901963
2,0,2,0,0,0,1,0,2.3865824
0,0,0,1,2,0,1,1,2.3822143
0,0,0,3,0,2,0,0,2.3545496
1,1,1,1,0,1,0,0,2.3424613
2,0,0,0,0,2,0,1,2.3179717
1,1,0,1,0,1,0,1,2.3167424
1,0,1,1,0,0,1,1,2.3105059
1,3,0,0,0,0,0,1,2.275654
0,0,1,1,2,0,1,0,2.2663786
2,1,0,0,0,0,0,2,2.266096
1,0,0,0,1,1,1,1,2.2549603
0,0,0,5,0,0,0,0,2.25412
1,0,0,0,2,1,0,1,2.252633
0,1,0,1,2,1,0,0,2.2507367
0,2,2,0,1,0,0,0,2.2289448
1,1,0,1,1,0,0,1,2.2269337
1,0,1,1,0,0,0,2,2.225398
0,2,2,0,0,0,1,0,2.1898203
1,1,1,1,1,0,0,0,2.1745882
2,0,0,0,0,3,0,0,2.1016746
1,0,0,1,0,0,2,1,2.1015868
2,0,1,0,0,0,1,1,2.084145
0,1,0,2,0,0,2,0,2.083987
2,0,0,0,0,0,3,0,2.0628338
1,1,0,0,0,1,0,2,2.0335412
1,2,0,0,1,0,0,1,1.9569781
0,1,0,1,0,1,0,2,1.9255698
0,0,0,2,1,1,0,1,1.8897191
1,1,0,0,1,1,0,1,1.8840702
3,0,2,0,0,0,0,0,1.8828373
0,1,1,2,1,0,0,0,1.8680315
1,1,1,1,0,0,1,0,1.8469176
0,1,2,2,0,0,0,0,1.8213795
0,0,2,1,2,0,0,0,1.8088554
1,2,0,0,1,0,1,0,1.7903564
0,0,0,4,0,1,0,0,1.785561
0,1,1,2,0,0,0,1,1.7652977
0,1,0,2,1,0,0,1,1.7573507
1,0,0,0,2,0,1,1,1.7505739
0,0,2,2,1,0,0,0,1.7273914
0,2,1,1,0,0,1,0,1.7239552
0,0,0,1,2,0,0,2,1.7236718
0,0,0,2,1,0,2,0,1.7102946
1,0,0,0,0,1,1,2,1.7052996
0,0,2,2,0,0,0,1,1.7044946
0,0,1,1,1,2,0,0,1.6932783
0,0,0,1,2,1,1,0,1.6738052
