c1,c2,c3,c4,c5,c6,c7,c8,nrtg
1,0,0,0,0,2,2,0,-3.2221608
0,0,2,0,2,1,0,0,-3.248747
0,2,1,0,0,1,1,0,-3.292054
0,0,0,0,0,5,0,0,-3.342085
0,0,0,0,1,3,1,0,-3.3508391
0,1,3,0,0,1,0,0,-3.4751341
0,0,0,3,1,0,0,1,-3.4765515
0,1,2,0,0,1,0,1,-3.5249429
0,1,1,0,0,1,1,1,-3.5423365
0,0,1,0,0,1,0,3,-3.5569186
0,2,0,0,0,1,0,2,-3.5583649
0,1,0,0,0,3,1,0,-3.5886254
0,0,0,0,2,2,1,0,-3.598363
0,0,2,0,0,1,0,2,-3.6871138
0,3,1,0,0,0,1,0,-3.7185078
0,0,3,0,0,1,0,1,-3.7471776
0,2,1,0,0,2,0,0,-3.749011
0,0,2,0,1,1,0,1,-3.830048
0,2,0,0,1,2,0,0,-3.8415594
0,1,2,0,1,1,0,0,-3.8517113
0,0,0,0,0,2,0,3,-3.9008746
0,2,0,0,0,3,0,0,-3.907373
0,1,1,0,0,0,0,3,-3.923678
0,0,0,0,1,1,0,3,-3.9406686
0,1,1,0,0,3,0,0,-3.9494843
0,0,1,0,1,0,0,3,-3.9563308
0,0,0,0,3,1,0,1,-3.998478
0,1,2,0,0,0,0,2,-4.080241
0,0,0,0,4,0,0,1,-4.1402187
0,0,4,0,0,1,0,0,-4.14502
0,0,1,0,0,0,1,3,-4.1558166
0,1,0,0,3,0,0,1,-4.1618023
0,2,0,0,1,0,0,2,-4.1701384
0,0,1,0,0,0,0,4,-4.172282
0,1,2,0,0,1,1,0,-4.191217
0,1,0,0,0,0,2,2,-4.217409
0,0,3,0,1,1,0,0,-4.2278914
0,0,0,0,0,4,1,0,-4.236928
0,0,0,0,1,0,2,2,-4.236976
0,1,1,0,1,2,0,0,-4.2525373
0,0,2,0,0,0,1,2,-4.2625003
0,1,0,0,3,1,0,0,-4.2929688
0,0,3,0,0,0,0,2,-4.302475
0,0,2,0,1,0,0,2,-4.3853455
0,1,0,0,0,1,0,3,-4.3980227
0,0,0,0,0,0,3,2,-4.4180593
0,1,0,0,4,0,0,0,-4.4347095
0,0,2,0,0,1,1,1,-4.46326
0,0,1,0,2,2,0,0,-4.5089417
0,0,1,0,0,0,2,2,-4.5099344
0,0,1,0,0,4,0,0,-4.597787
0,2,0,0,0,0,1,2,-4.6000314
0,0,1,0,1,3,0,0,-4.607133
0,1,0,3,0,0,0,1,-4.6190405
0,0,0,0,3,0,1,1,-4.629634
0,0,0,0,0,1,0,4,-4.646627
0,0,2,0,1,1,1,0,-4.7173057
0,0,0,0,4,1,0,0,-4.719036
0,2,1,0,0,0,2,0,-4.7942677
0,0,0,1,1,0,0,3,-4.8020344
0,2,0,0,0,2,1,0,-4.802215
0,1,2,0,0,2,0,0,-4.826933
0,1,1,0,0,2,1,0,-4.8443265
0,0,0,0,5,0,0,0,-4.860777
0,0,3,0,0,1,1,0,-4.8611026
0,0,0,0,0,1,1,3,-4.8968043
0,1,0,0,3,0,1,0,-4.924124
0,3,0,1,1,0,0,0,-4.991933
0,0,0,0,3,0,0,2,-5.0542994
0,0,1,0,1,2,1,0,-5.096547
0,0,0,3,0,1,0,1,-5.154677
0,3,0,2,0,0,0,0,-5.1778736
0,0,1,3,0,0,0,1,-5.206148
0,0,0,0,3,1,1,0,-5.2084503
0,4,0,1,0,0,0,0,-5.2830424
0,0,0,0,4,0,1,0,-5.350191
0,4,0,0,1,0,0,0,-5.357379
0,0,1,0,0,3,1,0,-5.4926276
0,0,2,0,0,3,0,0,-5.4968176
0,0,3,0,0,2,0,0,-5.4968176
0,0,2,0,0,0,0,3,-5.538725
0,5,0,0,0,0,0,0,-5.6484885
0,0,0,0,0,2,2,1,-5.735575
0,0,2,0,1,2,0,0,-5.8049836
0,0,0,3,0,0,1,1,-5.8318715
0,3,0,1,0,1,0,0,-5.8351307
0,3,0,0,1,0,1,0,-5.846793
0,0,0,1,0,0,0,4,-5.8809214
0,3,0,0,1,1,0,0,-5.909467
0,0,0,2,0,0,0,3,-5.915205
0,3,1,0,0,1,0,0,-6.042214
0,0,0,1,0,0,1,3,-6.115371
0,4,0,0,0,1,0,0,-6.200577
0,0,2,0,0,2,1,0,-6.2129
0,0,0,0,1,0,1,3,-6.213119
0,0,0,0,2,0,0,3,-6.248073
0,1,0,1,0,0,0,3,-6.3144054
0,0,0,0,2,0,2,1,-6.3319654
0,0,1,0,2,0,2,0,-6.3831096
0,3,0,1,0,0,1,0,-6.4287972
0,1,1,0,0,0,3,0,-6.4697227
0,0,0,3,0,0,0,2,-6.4996457
0,1,1,0,0,0,2,1,-6.5195303
0,4,0,0,0,0,1,0,-6.543329
0,0,0,0,1,0,0,4,-6.6350093
0,1,0,0,1,0,0,3,-6.680112
0,0,1,0,0,0,3,1,-6.7201805
0,1,0,0,0,1,2,1,-6.7435184
0,1,0,0,2,0,2,0,-6.762098
0,0,0,0,1,1,2,1,-6.7630854
0,1,0,0,0,0,3,1,-6.8299313
0,0,0,0,3,2,0,0,-6.843823
0,0,0,0,1,0,3,1,-6.8494983
0,1,0,0,1,0,2,1,-6.942554
0,0,0,0,0,1,3,1,-6.9441686
0,0,1,0,1,0,2,1,-6.9644103
0,1,1,0,1,0,2,0,-7.007658
0,0,0,0,0,0,4,1,-7.0305815
0,0,0,0,2,1,2,0,-7.0403743
0,1,0,0,0,0,1,3,-7.075899
0,1,0,0,0,0,0,4,-7.0923634
0,3,0,0,0,1,1,0,-7.095417
0,0,1,0,0,0,4,0,-7.1180234
0,0,0,0,2,0,3,0,-7.1267877
0,2,0,0,0,0,2,1,-7.156021
0,1,2,0,0,0,2,0,-7.168411
0,1,0,0,0,1,3,0,-7.2065864
0,1,0,0,0,0,4,0,-7.292999
0,1,0,0,1,1,2,0,-7.319209
0,0,0,0,0,0,1,4,-7.324503
0,0,0,0,0,0,0,5,-7.3409677
0,0,1,0,1,0,3,0,-7.3622537
0,1,0,0,1,0,3,0,-7.4056215
0,0,2,0,0,0,2,1,-7.4404526
0,0,1,1,3,0,0,0,-7.494668
0,3,0,0,0,2,0,0,-7.552374
0,2,0,0,0,0,3,0,-7.6190863
0,0,0,0,1,1,3,0,-7.6738005
0,0,0,0,1,0,4,0,-7.7602158
0,3,0,0,0,0,2,0,-7.769433
0,0,2,0,0,0,3,0,-7.838296
0,0,3,0,0,0,2,0,-7.838296
0,0,0,0,0,1,4,0,-7.8548813
0,1,0,0,0,2,2,0,-7.902174
0,0,0,0,0,0,5,0,-7.9412956
0,0,2,0,1,0,2,0,-8.193618
0,2,0,0,1,0,2,0,-8.329324
0,2,0,0,0,1,2,0,-8.420171
0,1,1,0,0,1,2,0,-8.462286
0,0,0,0,0,3,2,0,-8.550474
0,0,0,0,0,2,3,0,-8.550474
0,0,0,0,1,2,2,0,-8.594687
0,0,0,0,0,0,2,3,-8.698833
0,0,1,0,0,1,2,1,-8.712743
0,2,0,0,0,0,0,3,-8.992393
0,0,1,0,0,1,3,0,-9.110586
0,0,1,0,1,1,2,0,-9.3548155
0,0,1,0,0,2,2,0,-9.806177
0,0,2,0,0,1,2,0,-9.830858
1,0,1,0,3,0,0,0,-10.033051
0,1,1,0,3,0,0,0,-10.1336355
0,0,1,0,3,0,0,1,-10.35202
0,0,0,0,3,0,2,0,-10.436445
0,0,1,0,4,0,0,0,-10.559702
0,0,1,0,3,0,1,0,-11.049117
0,0,2,0,3,0,0,0,-11.757557
0,0,1,0,3,1,0,0,-12.496938
