PLAYER_NAME,SEASON,cluster,classification
Royce O'Neale,2019-20,7,low-usage role players
Rudy Gobert,2019-20,0,high-usage big men
Rui Hachimura,2019-20,1,versatile forwards
Russell Westbrook,2019-20,3,ball-dominant scorers
Serge Ibaka,2019-20,0,high-usage big men
Seth Curry,2019-20,6,sharpshooters
Shabazz Napier,2019-20,4,floor generals
Shai Gilgeous-Alexander,2019-20,3,ball-dominant scorers
Spencer Dinwiddie,2019-20,3,ball-dominant scorers
Steven Adams,2019-20,0,high-usage big men
T.J. Warren,2019-20,1,versatile forwards
Taurean Prince,2019-20,7,low-usage role players
Terrance Ferguson,2019-20,7,low-usage role players
Terrence Ross,2019-20,6,sharpshooters
Terry Rozier,2019-20,4,floor generals
Thaddeus Young,2019-20,1,versatile forwards
Thomas Bryant,2019-20,0,high-usage big men
Tim Hardaway Jr.,2019-20,6,sharpshooters
Tobias Harris,2019-20,1,versatile forwards
Tomas Satoransky,2019-20,4,floor generals
Tony Snell,2019-20,7,low-usage role players
Trae Young,2019-20,3,ball-dominant scorers
Trevor Ariza,2019-20,7,low-usage role players
Tristan Thompson,2019-20,0,high-usage big men
Troy Brown Jr.,2019-20,1,versatile forwards
Tyler Herro,2019-20,6,sharpshooters
Wendell Carter Jr.,2019-20,0,high-usage big men
Wesley Matthews,2019-20,7,low-usage role players
Will Barton,2019-20,4,floor generals
Zach LaVine,2019-20,3,ball-dominant scorers
Zion Williamson,2019-20,0,high-usage big men
